item,itemLabel,startDate,endDate,sourceDate,psid
Q3347423,France Bučar,1990-05-09,1992-12-23,2022-05-20,Q3347423-A3644586-91C8-47DE-9D47-F5747416512B
Q12019534,Herman Rigelnik,1992-12-23,1994-09-14,2022-05-20,Q12019534-150A2CF2-0F0B-47D0-BAFE-1C29D3CA76E0
Q12037928,Miroslav Mozetič,1994-09-14,1994-09-16,2022-05-20,Q12037928-6F7FDC09-647B-46D4-867A-3E4377BEB5F9
Q2308816,Jožef Školč,1994-09-16,1996-12-03,,Q2308816-CC4BD145-B6EE-4631-AF54-77F2BBEBE10D
Q3487795,Janez Podobnik,1996-12-03,2000-10-27,,Q3487795-103E15FB-EB05-49F8-BE86-1DC8512777B5
Q206471,Borut Pahor,2000-11-10,2004-07-09,2022-05-20,Q206471-F4F0AED4-BCBC-42D0-A076-DC896D55053E
Q12805207,Valentin Pohorec,2004-07-09,2004-07-12,2022-05-20,Q12805207-13B3B301-FEBD-4534-B1E3-5D66EDB7F257
Q1260275,Feri Horvat,2004-07-12,2004-10-22,2022-05-20,Q1260275-938F975A-2904-4667-BF75-1619919B786A
Q2719753,France Cukjati,2004-10-22,2008-10-15,2022-05-20,Q2719753-1C612499-517A-4B37-B22A-1E0D67242970
Q3487725,Pavel Gantar,2008-10-15,2011-09-02,,Q3487725-F419A241-4D0E-4062-B82F-AA63673D4BBB
Q12805300,Vasja Klavora,2011-09-02,2011-09-02,2022-05-20,Q12805300-842BC558-DD4E-4045-A2C1-0A02D485A726
Q3487786,Ljubo Germič,2011-09-02,2011-12-21,2022-05-20,Q3487786-837B7785-F976-4801-87CC-5D9941257942
Q1545201,Gregor Virant,2011-12-21,2013-01-28,,Q1545201-DF58EC3D-0E5D-48E4-8D0F-559E55259910
Q18565765,Jakob Presečnik,2013-01-28,2013-02-27,2022-05-20,Q18565765-382EBC7B-432B-4C4D-986D-590B27B41A04
Q5787257,Janko Veber,2013-02-27,2014-08-01,,Q5787257-10836D1D-E1EB-411C-A045-F127F8598BB6
Q17484120,Milan Brglez,2014-08-01,2018-06-22,2022-05-20,Q17484120-ABF1A9B7-58F5-436B-A302-2A2014DED51E
Q12796084,Matej Tonin,2018-06-22,2018-08-23,,Q12796084-2850BB4D-300F-4E80-9162-1CB3BFAEC884
Q12787433,Dejan Židan,2018-08-23,2020-03-03,,Q12787433-950AAD9B-B66C-4EE2-80C7-309570737F2B
Q54944131,Tina Heferle,2018-08-23,2018-08-23,2022-05-20,Q54944131-20E4714D-4B04-4B7A-8A22-230B1B64DBDF
Q109173451,Branko Simonovič,2020-03-03,2020-03-05,2022-05-20,Q109173451-0FE11EBB-C26F-46FB-8862-F02EEDED309C
Q43389540,Igor Zorčič,2020-03-05,2022-05-13,,Q43389540-11B47C33-6D09-484E-AA76-E4C100EC373F
Q111513149,Urška Klakočar Zupančič,2022-05-13,,,Q111513149-1d1b2b21-437b-e354-db1a-223c4bc7a32f
