@@,item,itemlabel,startdate,enddate
+++,Q3347423,France Bučar,1990-05-09,1992-12-23
+++,,Herman Rigelnik,1992-12-23,1994-09-14
+++,,Miroslav Mozetič,1994-09-14,1994-09-16
->,Q2308816,Jožef Školč,1994->1994-09-16,1996->1996-12-03
->,Q3487795,Janez Podobnik,1996->1996-12-03,2000->2000-10-27
+++,Q206471,Borut Pahor,2000-11-10,2004-07-09
+++,,Valentin Pohorec,2004-07-09,2004-07-12
+++,Q1260275,Feri Horvat,2004-07-12,2004-10-22
+++,Q2719753,France Cukjati,2004-10-22,2008-10-15
+++,Q3487786,Ljubo Germič,2011-09-02,2011-12-21
+++,,Vasja Klavora,2011-09-02,2011-09-02
+++,,Jakob Presečnik,2013-01-28,2013-02-27
+++,Q17484120,Milan Brglez,2014-08-01,2018-06-22
+++,,Tina Heferle,2018-08-23,2018-08-23
+++,,Branko Simonovič,2020-03-03,2020-03-05
---,Q111513149,Urška Klakočar Zupančič,2022-05-13,
