position,person,personID,start,end
President,Milan Kučan,Q194443,1991-10-08,2002-12-22
President,Janez Drnovšek,Q171228,2002-12-22,2007-12-23
President,Danilo Türk,Q57329,2007-12-23,2012-12-22
President,Borut Pahor,Q206471,2012-12-23,
Prime Minister,Janez Drnovšek,Q171228,1992-05-14,2000-06-07
Prime Minister,Andrej Bajuk,Q434177,2000-06-07,2000-11-30
Prime Minister,Janez Drnovšek,Q171228,2000-11-30,2002-12-19
Prime Minister,Anton Rop,Q464922,2002-12-19,2004-12-03
Prime Minister,Janez Janša,Q57627,2004-12-03,2008-11-21
Prime Minister,Borut Pahor,Q206471,2008-11-21,2012-02-10
Prime Minister,Janez Janša,Q57627,2012-02-10,2013-03-20
Prime Minister,Alenka Bratušek,Q3739767,2013-03-20,2014-05-05
Prime Minister,Miro Cerar,Q17117413,2014-09-18,2018-03-14
Prime Minister,Marjan Šarec,Q12795878,2018-08-17,2020-03-03
Prime Minister,Janez Janša,Q57627,2020-03-13,2022-05-25
Prime Minister,Robert Golob,Q18645045,2022-05-25,
Deputy Prime Minister,Matej Tonin,Q12796084,2020-03-13,2022-06-01
Deputy Prime Minister,Zdravko Počivalšek,Q24690846,2020-03-13,2022-06-01
Deputy Prime Minister,Aleksandra Pivec,Q56612692,2020-03-13,2020-10-05
Deputy Prime Minister,Danijel Bešič Loredan,Q111341121,2022-06-01,
Deputy Prime Minister,Luka Mesec,Q18627634,2022-06-01,
Deputy Prime Minister,Tanja Fajon,Q462744,2022-06-01,
"Minister of Agriculture, Forestry and Food",Dejan Židan,Q12787433,2010-05-05,2018
"Minister of Agriculture, Forestry and Food",Aleksandra Pivec,Q56612692,2018-09-13,2020-10-15
"Minister of Agriculture, Forestry and Food",Jože Podgoršek,Q100494157,2020-10-15,2022-06-01
"Minister of Agriculture, Forestry and Food",Irena Šinko,Q112197081,2022-06-01,
Minister of Agriculture and the Environment,Franc Bogovič,Q12016827,2012-02-10,2013-02-25
Minister of Culture,Majda Širca,Q434431,2008-11-21,2011-07-11
Minister of Culture,Julijana Bizjak Mlakar,Q12793070,2014-09-18,2016-04-25
Minister of Culture,Tone Peršak,Q7820847,2016-05-20,2018-09-13
Minister of Culture,Dejan Prešiček,Q5252688,2018-09-13,2019-01-28
Minister of Culture,Zoran Poznič,Q62003902,2019-03-08,2020-03-13
Minister of Culture,Vasko Simoniti,Q7916849,2020-03-13,2022-06-01
Minister of Culture,Asta Vrečko,Q65899442,2022-06-01,
Minister of Defence,Franci Demšar,Q16193547,1999-02-04,2000-06-07
Minister of Defence,Janez Janša,Q57627,2000-06-07,2000-11-30
Minister of Defence,Anton Grizold,Q12784802,2000-11-30,2004-12-03
Minister of Defence,Karl Erjavec,Q58079,2004-12-03,2008-11-21
Minister of Defence,Ljubica Jelušič,Q434426,2008-11-21,2011-09-20
Minister of Defence,Aleš Hojs,Q10773771,2012-02-10,2013-03-20
Minister of Defence,Roman Jakič,Q13604224,2013-03-20,2014-09-18
Minister of Defence,Janko Veber,Q5787257,2014-09-18,2015-04-09
Minister of Defence,Andreja Katič,Q23418897,2015-05-13,2018-09-13
Minister of Defence,Karl Erjavec,Q58079,2018-09-13,2020-03-13
Minister of Defence,Matej Tonin,Q12796084,2020-03-13,2022-06-01
Minister of Defence,Marjan Šarec,Q12795878,2022-06-01,
Minister for the Diaspora,Ljudmila Novak,Q431743,2012-02-10,2013-03-20
Minister for the Diaspora,Peter Jožef Česnik,Q76190642,2018-09-13,2020-03-13
Minister for the Diaspora,Helena Jaklitsch,Q95165279,2020-03-13,2022-06-01
Minister for the Diaspora,Matej Arčon,Q12796056,2022-06-01,
Minister of Economic Development and Technology,Radovan Žerjav,Q2698706,2012,2013
Minister of Economic Development and Technology,Jožef Petrovič,Q18604386,2014-09-18,2014-12-04
Minister of Economic Development and Technology,Zdravko Počivalšek,Q24690846,2020-03-13,2022-06-01
Minister of Economic Development and Technology,Matjaž Han,Q18644615,2022-06-01,
"Minister of Education, Science and Sport",Žiga Turk,Q135216,2012-02-10,2013-02-27
"Minister of Education, Science and Sport",Jernej Pikalo,Q14540814,2013-03-20,2014-09-18
"Minister of Education, Science and Sport",Stanka Setnikar Cankar,Q18643078,2014-09-18,2015-03-28
"Minister of Education, Science and Sport",Klavdija Markež,Q43389487,2015-03-28,2015-04-03
"Minister of Education, Science and Sport",Maja Zalaznik,Q21406232,2015-05-13,2018-09-13
"Minister of Education, Science and Sport",Jernej Pikalo,Q14540814,2018-09-13,2020-03-13
"Minister of Education, Science and Sport",Simona Kustec,Q18643062,2020-03-13,2022-06-01
"Minister of Education, Science and Sport",Igor Papič,Q29963962,2022-06-01,
Minister of the Environment and Spatial Planning,Janez Podobnik,Q3487795,2004-12-03,2008-11-21
Minister of the Environment and Spatial Planning,Karl Erjavec,Q58079,2008,2010
Minister of the Environment and Spatial Planning,Roko Žarnić,Q2162605,2010-02-12,2012-02-10
Minister of the Environment and Spatial Planning,Irena Majcen,Q34231243,2014-09-18,2018-09-13
Minister of the Environment and Spatial Planning,Jure Leben,Q64854453,2018-09-13,2019-02-27
Minister of the Environment and Spatial Planning,Simon Zajc,Q43389546,2019-03-27,2020-03-13
Minister of the Environment and Spatial Planning,Andrej Vizjak,Q10820628,2020-03-13,2022-06-01
Minister of the Environment and Spatial Planning,Uroš Brežan,Q112075086,2022-06-01,
Minister of Finance,Dušan Mramor,Q16732934,2002-12-19,2004-12-03
Minister of Finance,Andrej Bajuk,Q434177,2004,2008
Minister of Finance,"Franc Križanič, Jr.",Q3080506,2008-11-21,2011-09-20
