wanted,position,positionid,from,start,end
Q10861634,"Minister without portfolio, competent for strategic projects and cohesion",Q95397673,Q524225,2019-12-19,2020-03-13
Q67524006,Minister of the Interior,Q12796749,Q18121366,2014-09-18,2018-09-13
Q81033535,ambassador to Slovakia,Q81034197,Q65099953,2013,2017
Q12787433,Minister of Agriculture and the Environment,Q20521803,Q12016827,2012-02-10,2013-02-25
Q12804144,Minister for the Diaspora,Q95232921,Q431743,2012-02-10,2013-03-20
Q52144849,Minister of Infrastructure and Spatial Planning,Q20521787,Q10861634,2012-02-10,2013-02-27
Q12803427,Minister of Economic Development and Technology,Q12796745,Q2698706,2012,2013
Q135216,"Minister of Higher Education, Science, and Technology",Q12796750,Q640635,2008-11-21,2012-02-10
Q18524134,Minister of Culture,Q12796748,Q434431,2008-11-21,2011-07-11
Q2623815,Minister of the Interior,Q12796749,Q240347,2008-11-21,2011-09-02
Q2280312,Minister without Portfolio for Development and EU Cohesion Policy,Q107764310,Q135216,2007-03-06,2008-11-21
Q7362038,ambassador to the United States,Q38251483,Q1378416,2004,2008
