position,title
Q495877,President
Q45758,Prime Minister
Q107764051,Deputy Prime Minister
Q96787564,"Minister of Agriculture, Forestry and Food"
Q20521803,Minister of Agriculture and the Environment
Q12796748,Minister of Culture
Q20523593,Minister of Defence
Q95232921,Minister for the Diaspora
Q12796745,Minister of Economic Development and Technology
Q20521795,"Minister of Education, Science and Sport"
Q99836910,Minister of the Environment and Spatial Planning
Q12796747,Minister of Finance
Q4294924,Minister of Foreign Affairs
Q20521812,Minister of Health
Q12796750,"Minister of Higher Education, Science, and Technology"
Q61356430,Minister of Infrastructure
Q20521787,Minister of Infrastructure and Spatial Planning
Q12796749,Minister of the Interior
Q20522353,Minister of Justice
Q12796744,"Minister of Labour, Family, Social Affairs and Equal Opportunities"
Q12796746,Minister of Public Administration
Q20522860,Minister of Transport
Q107764310,Minister without Portfolio for Development and EU Cohesion Policy
Q107557122,Minister without Portfolio for Digital Transformation
Q95397673,"Minister without portfolio, competent for strategic projects and cohesion"
Q20522401,President of the National Assembly
Q109070159,Governor of the Bank of Slovenia
Q12797349,Chief of the General Staff
Q109296872,Mayor of Ljubljana
